"Committee Name","Name","Congresses","committee_type"
"Agriculture","CAIN, Richard Harvey","43rd (1873–1875)","House Standing Committees"
"Agriculture","SMALLS, Robert","44th (1875–1877); 47th (1881–1883)","House Standing Committees"
"Agriculture","CHEATHAM, Henry Plummer","52nd (1891–1893)","House Standing Committees"
"Agriculture","WHITE, George Henry","55th (1897–1899) – 56th (1899–1901)","House Standing Committees"
"Agriculture","ESPY, Alphonso Michael (Mike)","100th (1987–1989) – 102nd (1991–1993)","House Standing Committees"
"Agriculture","BISHOP, Sanford Dixon, Jr.","103rd (1993–1995) – 107th (2001–2003)","House Standing Committees"
"Agriculture","CLAYTON, Eva M.","103rd (1993–1995) – 107th (2001–2003)","House Standing Committees"
"Agriculture","HILLIARD, Earl Frederick","103rd (1993–1995) – 107th (2001–2003)","House Standing Committees"
"Agriculture","MCKINNEY, Cynthia Ann","103rd (1993–1995) – 104th (1995–1997)","House Standing Committees"
"Agriculture","THOMPSON, Bennie","103rd (1993–1995) – 108th (2003–2005)","House Standing Committees"
"Agriculture","BALLANCE, Frank W., Jr.","108th (2003–2005)","House Standing Committees"
"Agriculture","BUTTERFIELD, George Kenneth (G.K.), Jr.","108th (2003–2005) – 109th (2005–2007)","House Standing Committees"
"Agriculture","SCOTT, David","108th (2003–2005) – 110th (2007–2009); 112th (2011–2013) – 117th (2021–2023)","House Standing Committees"
"Agriculture","FUDGE, Marcia L.","112th (2011–2013) – 116th (2019–2021)","House Standing Committees"
"Agriculture","SEWELL, Terri","112th (2011–2013)","House Standing Committees"
"Agriculture","ADAMS, Alma","114th (2015–2017) – 116th (2019–2021)","House Standing Committees"
"Agriculture","PLASKETT, Stacey E.","114th (2015–2017) – 116th (2019–2021)","House Standing Committees"
"Agriculture","BLUNT ROCHESTER, Lisa","115th (2017–2019)","House Standing Committees"
"Agriculture","EVANS, Dwight","115th (2017–2019)","House Standing Committees"
"Agriculture","LAWSON, Alfred, Jr.","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Agriculture","DELGADO, Antonio","116th (2019–2021)","House Standing Committees"
"Agriculture","HAYES, Jahana","116th (2019–2021)","House Standing Committees"
"Appropriations","STOKES, Louis","92nd (1971–1973) – 105th (1997–1999)","House Standing Committees"
"Appropriations","BURKE, Yvonne Brathwaite","94th (1975–1977) – 95th (1977–1979)","House Standing Committees"
"Appropriations","DIXON, Julian Carey","96th (1979–1981) – 106th (1999–2001)","House Standing Committees"
"Appropriations","STEWART, Bennett McVey","96th (1979–1981)","House Standing Committees"
"Appropriations","GRAY, William Herbert, III","97th (1981–1983) – 102nd (1991–1993)","House Standing Committees"
"Appropriations","MEEK, Carrie P.","103rd (1993–1995); 105th (1997–1999) – 107th (2001–2003)","House Standing Committees"
"Appropriations","CLYBURN, James Enos","106th (1999–2001) – 109th (2005–2007)","House Standing Committees"
"Appropriations","JACKSON, Jesse L., Jr.","106th (1999–2001) – 112th (2011–2013)","House Standing Committees"
"Appropriations","KILPATRICK, Carolyn Cheeks","106th (1999–2001) – 111th (2009–2011)","House Standing Committees"
"Appropriations","FATTAH, Chaka","107th (2001–2003) – 114th (2015–2017)","House Standing Committees"
"Appropriations","BISHOP, Sanford Dixon, Jr.","108th (2003–2005) – 116th (2019–2021)","House Standing Committees"
"Appropriations","LEE, Barbara","110th (2007–2009) – 116th (2019–2021)","House Standing Committees"
"Appropriations","HURD, William Ballard","116th (2019–2021)","House Standing Committees"
"Appropriations","LAWRENCE, Brenda L.","116th (2019–2021)","House Standing Committees"
"Appropriations","WATSON COLEMAN, Bonnie","116th (2019–2021)","House Standing Committees"
"Armed Services","DELLUMS, Ronald V.","93rd (1973–1975) – 103rd (1993–1995)","House Standing Committees"
"Armed Services","EVANS, Melvin Herbert","96th (1979–1981)","House Standing Committees"
"Armed Services","FRANKS, Gary A.","102nd (1991–1993)","House Standing Committees"
"Armed Services","MCKINNEY, Cynthia Ann","106th (1999–2001) – 107th (2001–2003); 109th (2005–2007)","House Standing Committees"
"Armed Services","WATTS, Julius Caesar, Jr. (J. C.)","106th (1999–2001) – 107th (2001–2003)","House Standing Committees"
"Armed Services","MEEK, Kendrick B.","108th (2003–2005) – 110th (2007–2009)","House Standing Committees"
"Armed Services","BUTTERFIELD, George Kenneth (G.K.), Jr.","109th (2005–2007)","House Standing Committees"
"Armed Services","CUMMINGS, Elijah Eugene","110th (2007–2009)","House Standing Committees"
"Armed Services","JOHNSON, Hank","110th (2007–2009) – 114th (2015–2017)","House Standing Committees"
"Armed Services","WEST, Allen","112th (2011–2013)","House Standing Committees"
"Armed Services","CARSON, André","113th (2013–2015)","House Standing Committees"
"Armed Services","VEASEY, Marc","113th (2013–2015) – 115th (2017–2019)","House Standing Committees"
"Armed Services","BROWN, Anthony Gregory","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Armed Services","MCEACHIN, Aston Donald","115th (2017–2019)","House Standing Committees"
"Banking and Currency","MITCHELL, Parren James","92nd (1971–1973) – 93rd (1973–1975)","House Standing Committees"
"Banking and Currency","FAUNTROY, Walter Edward","93rd (1973–1975)","House Standing Committees"
"Banking and Currency","YOUNG, Andrew Jackson, Jr.","93rd (1973–1975)","House Standing Committees"
"Banking and Financial Services","FIELDS, Cleo","104th (1995–1997)","House Standing Committees"
"Banking and Financial Services","FLAKE, Floyd Harold","104th (1995–1997) – 105th (1997–1999)","House Standing Committees"
"Banking and Financial Services","JACKSON, Jesse L., Jr.","104th (1995–1997) – 105th (1997–1999)","House Standing Committees"
"Banking and Financial Services","MCKINNEY, Cynthia Ann","104th (1995–1997) – 105th (1997–1999)","House Standing Committees"
"Banking and Financial Services","MFUME, Kweisi","104th (1995–1997)","House Standing Committees"
"Banking and Financial Services","WATERS, Maxine","104th (1995–1997) – 106th (1999–2001)","House Standing Committees"
"Banking and Financial Services","WATT, Melvin L.","104th (1995–1997) – 106th (1999–2001)","House Standing Committees"
"Banking and Financial Services","WATTS, Julius Caesar, Jr. (J. C.)","104th (1995–1997)","House Standing Committees"
"Banking and Financial Services","WYNN, Albert Russell","104th (1995–1997)","House Standing Committees"
"Banking and Financial Services","CARSON, Julia May","105th (1997–1999) – 106th (1999–2001); 110th (2007–2009)","House Standing Committees"
"Banking and Financial Services","KILPATRICK, Carolyn Cheeks","105th (1997–1999)","House Standing Committees"
"Banking and Financial Services","LEE, Barbara","105th (1997–1999) – 106th (1999–2001)","House Standing Committees"
"Banking and Financial Services","MEEKS, Gregory W.","105th (1997–1999) – 106th (1999–2001)","House Standing Committees"
"Banking and Financial Services","JONES, Stephanie Tubbs","106th (1999–2001)","House Standing Committees"
"Banking, Currency, and Housing","FAUNTROY, Walter Edward","94th (1975–1977)","House Standing Committees"
"Banking, Currency, and Housing","FORD, Harold Eugene","94th (1975–1977)","House Standing Committees"
"Banking, Currency, and Housing","MITCHELL, Parren James","94th (1975–1977)","House Standing Committees"
"Banking, Finance and Urban Affairs","WATERS, Maxine","102nd (1991–1993) – 103rd (1993–1995)","House Standing Committees"
"Banking, Finance, and Urban Affairs","FAUNTROY, Walter Edward","95th (1977–1979) – 101st (1989–1991)","House Standing Committees"
"Banking, Finance, and Urban Affairs","MITCHELL, Parren James","95th (1977–1979) – 99th (1985–1987)","House Standing Committees"
"Banking, Finance, and Urban Affairs","FLAKE, Floyd Harold","100th (1987–1989) – 103rd (1993–1995)","House Standing Committees"
"Banking, Finance, and Urban Affairs","MFUME, Kweisi","100th (1987–1989) – 103rd (1993–1995)","House Standing Committees"
"Banking, Finance, and Urban Affairs","WATERS, Maxine","102nd (1991–1993) – 103rd (1993–1995)","House Standing Committees"
"Banking, Finance, and Urban Affairs","FIELDS, Cleo","103rd (1993–1995)","House Standing Committees"
"Banking, Finance, and Urban Affairs","RUSH, Bobby L.","103rd (1993–1995)","House Standing Committees"
"Banking, Finance, and Urban Affairs","WATT, Melvin L.","103rd (1993–1995)","House Standing Committees"
"Banking, Finance, and Urban Affairs","WYNN, Albert Russell","103rd (1993–1995)","House Standing Committees"
"Budget","MITCHELL, Parren James","93rd (1973–1975) – 95th (1977–1979)","House Standing Committees"
"Budget","STOKES, Louis","94th (1975–1977) – 96th (1979–1981)","House Standing Committees"
"Budget","GRAY, William Herbert, III","96th (1979–1981); 98th (1983–1985) – 100th (1987–1989)","House Standing Committees"
"Budget","ESPY, Alphonso Michael (Mike)","100th (1987–1989) – 102nd (1991–1993)","House Standing Committees"
"Budget","BLACKWELL, Lucien Edward","103rd (1993–1995)","House Standing Committees"
"Budget","MEEK, Carrie P.","104th (1995–1997)","House Standing Committees"
"Budget","CLAYTON, Eva M.","105th (1997–1999) – 107th (2001–2003)","House Standing Committees"
"Budget","THOMPSON, Bennie","105th (1997–1999) – 107th (2001–2003)","House Standing Committees"
"Budget","DAVIS, Artur","108th (2003–2005) – 109th (2005–2007)","House Standing Committees"
"Budget","FORD, Harold, Jr.","108th (2003–2005) – 109th (2005–2007)","House Standing Committees"
"Budget","LEWIS, John R.","108th (2003–2005)","House Standing Committees"
"Budget","MAJETTE, Denise L.","108th (2003–2005)","House Standing Committees"
"Budget","SCOTT, Robert C.","108th (2003–2005); 110th (2007–2009) – 111th (2009–2011); 116th (2019–2021)","House Standing Committees"
"Budget","JEFFERSON, William Jennings","109th (2005–2007)","House Standing Committees"
"Budget","MCKINNEY, Cynthia Ann","109th (2005–2007)","House Standing Committees"
"Budget","MOORE, Gwendolynne S. (Gwen)","110th (2007–2009) – 114th (2015–2017); 116th (2019–2021)","House Standing Committees"
"Budget","BASS, Karen","112th (2011–2013)","House Standing Committees"
"Budget","JEFFRIES, Hakeem","113th (2013–2015); 115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Budget","LEE, Barbara","113th (2013–2015) – 116th (2019–2021)","House Standing Committees"
"Budget","JACKSON LEE, Sheila","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Budget","HORSFORD, Steven","116th (2019–2021)","House Standing Committees"
"Budget","OMAR, Ilhan","116th (2019–2021)","House Standing Committees"
"Coinage, Weights, and Measures","DAWSON, William Levi","78th (1943–1945) – 79th (1945–1947)","House Standing Committees"
"Commerce","COLLINS, Cardiss","104th (1995–1997)","House Standing Committees"
"Commerce","FRANKS, Gary A.","104th (1995–1997)","House Standing Committees"
"Commerce","RUSH, Bobby L.","104th (1995–1997) – 106th (1999–2001)","House Standing Committees"
"Commerce","TOWNS, Edolphus","104th (1995–1997) – 106th (1999–2001)","House Standing Committees"
"Commerce","WYNN, Albert Russell","105th (1997–1999) – 106th (1999–2001)","House Standing Committees"
"District of Columbia","WHITE, George Henry","56th (1899–1901)","House Standing Committees"
"District of Columbia","DAWSON, William Levi","84th (1955–1957) – 91st (1969–1971)","House Standing Committees"
"District of Columbia","DIGGS, Charles Coles, Jr.","88th (1963–1965) – 96th (1979–1981)","House Standing Committees"
"District of Columbia","DELLUMS, Ronald V.","92nd (1971–1973) – 103rd (1993–1995)","House Standing Committees"
"District of Columbia","FAUNTROY, Walter Edward","92nd (1971–1973) – 101st (1989–1991)","House Standing Committees"
"District of Columbia","RANGEL, Charles B.","93rd (1973–1975)","House Standing Committees"
"District of Columbia","COLLINS, Cardiss","95th (1977–1979)","House Standing Committees"
"District of Columbia","GRAY, William Herbert, III","96th (1979–1981) – 102nd (1991–1993)","House Standing Committees"
"District of Columbia","LELAND, George Thomas (Mickey)","96th (1979–1981) – 99th (1985–1987)","House Standing Committees"
"District of Columbia","DYMALLY, Mervyn Malcolm","97th (1981–1983) – 102nd (1991–1993)","House Standing Committees"
"District of Columbia","WHEAT, Alan Dupree","99th (1985–1987) – 103rd (1993–1995)","House Standing Committees"
"District of Columbia","NORTON, Eleanor Holmes","102nd (1991–1993) – 103rd (1993–1995)","House Standing Committees"
"District of Columbia","JEFFERSON, William Jennings","103rd (1993–1995)","House Standing Committees"
"District of Columbia","LEWIS, John R.","103rd (1993–1995)","House Standing Committees"
"Economic and Educational Opportunities","CLAY, William Lacy, Sr.","104th (1995–1997)","House Standing Committees"
"Economic and Educational Opportunities","FATTAH, Chaka","104th (1995–1997)","House Standing Committees"
"Economic and Educational Opportunities","OWENS, Major Robert Odell","104th (1995–1997)","House Standing Committees"
"Economic and Educational Opportunities","PAYNE, Donald Milford","104th (1995–1997)","House Standing Committees"
"Economic and Educational Opportunities","REYNOLDS, Mel","104th (1995–1997)","House Standing Committees"
"Economic and Educational Opportunities","SCOTT, Robert C.","104th (1995–1997)","House Standing Committees"
"Education","CHEATHAM, Henry Plummer","51st (1889–1891) – 52nd (1891–1893)","House Standing Committees"
"Education","LANGSTON, John Mercer","51st (1889–1891)","House Standing Committees"
"Education","MURRAY, George Washington","53rd (1893–1895) – 54th (1895–1897)","House Standing Committees"
"Education and Labor","ELLIOTT, Robert Brown","42nd (1871–1873) – 43rd (1873–1875)","House Standing Committees"
"Education and Labor","RAPIER, James Thomas","43rd (1873–1875)","House Standing Committees"
"Education and Labor","NASH, Charles Edmund","44th (1875–1877)","House Standing Committees"
"Education and Labor","LYNCH, John Roy","47th (1881–1883)","House Standing Committees"
"Education and Labor","POWELL, Adam Clayton, Jr.","80th (1947–1949) – 89th (1965–1967); 91st (1969–1971)","House Standing Committees"
"Education and Labor","HAWKINS, Augustus Freeman (Gus)","88th (1963–1965) – 101st (1989–1991)","House Standing Committees"
"Education and Labor","CLAY, William Lacy, Sr.","91st (1969–1971) – 103rd (1993–1995)","House Standing Committees"
"Education and Labor","COLLINS, George Washington","91st (1969–1971)","House Standing Committees"
"Education and Labor","STOKES, Louis","91st (1969–1971)","House Standing Committees"
"Education and Labor","CHISHOLM, Shirley Anita","92nd (1971–1973) – 94th (1975–1977)","House Standing Committees"
"Education and Labor","WASHINGTON, Harold","97th (1981–1983) – 98th (1983–1985)","House Standing Committees"
"Education and Labor","HAYES, Charles Arthur","98th (1983–1985) – 102nd (1991–1993)","House Standing Committees"
"Education and Labor","OWENS, Major Robert Odell","98th (1983–1985) – 103rd (1993–1995)","House Standing Committees"
"Education and Labor","DYMALLY, Mervyn Malcolm","99th (1985–1987)","House Standing Committees"
"Education and Labor","WALDON, Alton R., Jr.","99th (1985–1987)","House Standing Committees"
"Education and Labor","MFUME, Kweisi","101st (1989–1991)","House Standing Committees"
"Education and Labor","PAYNE, Donald Milford","101st (1989–1991) – 103rd (1993–1995); 110th (2007–2009) – 112th (2011–2013)","House Standing Committees"
"Education and Labor","WASHINGTON, Craig Anthony","101st (1989–1991) – 102nd (1991–1993)","House Standing Committees"
"Education and Labor","JEFFERSON, William Jennings","102nd (1991–1993)","House Standing Committees"
"Education and Labor","SCOTT, Robert C.","103rd (1993–1995); 110th (2007–2009) – 111th (2009–2011); 116th (2019–2021) – 117th (2021–2023)","House Standing Committees"
"Education and Labor","CLARKE, Yvette Diane","110th (2007–2009) – 111th (2009–2011)","House Standing Committees"
"Education and Labor","DAVIS, Danny K.","110th (2007–2009)","House Standing Committees"
"Education and Labor","FUDGE, Marcia L.","111th (2009–2011); 116th (2019–2021)","House Standing Committees"
"Education and Labor","ADAMS, Alma","116th (2019–2021)","House Standing Committees"
"Education and Labor","HAYES, Jahana","116th (2019–2021)","House Standing Committees"
"Education and Labor","MCBATH, Lucy","116th (2019–2021)","House Standing Committees"
"Education and Labor","OMAR, Ilhan","116th (2019–2021)","House Standing Committees"
"Education and Labor","UNDERWOOD, Lauren","116th (2019–2021)","House Standing Committees"
"Education and Labor","WILSON, Frederica","116th (2019–2021)","House Standing Committees"
"Education and the Workforce","CLAY, William Lacy, Sr.","105th (1997–1999) – 106th (1999–2001)","House Standing Committees"
"Education and the Workforce","FATTAH, Chaka","105th (1997–1999) – 106th (1999–2001)","House Standing Committees"
"Education and the Workforce","FORD, Harold, Jr.","105th (1997–1999) – 107th (2001–2003)","House Standing Committees"
"Education and the Workforce","OWENS, Major Robert Odell","105th (1997–1999) – 109th (2005–2007)","House Standing Committees"
"Education and the Workforce","PAYNE, Donald Milford","105th (1997–1999) – 109th (2005–2007)","House Standing Committees"
"Education and the Workforce","SCOTT, Robert C.","105th (1997–1999) – 107th (2001–2003); 109th (2005–2007); 112th (2011–2013) – 115th (2017–2019)","House Standing Committees"
"Education and the Workforce","DAVIS, Danny K.","108th (2003–2005) – 109th (2005–2007)","House Standing Committees"
"Education and the Workforce","MAJETTE, Denise L.","108th (2003–2005)","House Standing Committees"
"Education and the Workforce","FUDGE, Marcia L.","113th (2013–2015) – 115th (2017–2019)","House Standing Committees"
"Education and the Workforce","WILSON, Frederica","113th (2013–2015) – 115th (2017–2019)","House Standing Committees"
"Education and the Workforce","ADAMS, Alma","114th (2015–2017) – 115th (2017–2019)","House Standing Committees"
"Education and the Workforce","JEFFRIES, Hakeem","114th (2015–2017)","House Standing Committees"
"Education and the Workforce","BLUNT ROCHESTER, Lisa","115th (2017–2019)","House Standing Committees"
"Energy and Commerce","COLLINS, Cardiss","97th (1981–1983) – 103rd (1993–1995)","House Standing Committees"
"Energy and Commerce","LELAND, George Thomas (Mickey)","97th (1981–1983) – 101st (1989–1991)","House Standing Committees"
"Energy and Commerce","TOWNS, Edolphus","101st (1989–1991) – 103rd (1993–1995); 107th (2001–2003) – 110th (2007–2009); 112th (2011–2013)","House Standing Committees"
"Energy and Commerce","FRANKS, Gary A.","103rd (1993–1995)","House Standing Committees"
"Energy and Commerce","WASHINGTON, Craig Anthony","103rd (1993–1995)","House Standing Committees"
"Energy and Commerce","RUSH, Bobby L.","107th (2001–2003) – 116th (2019–2021)","House Standing Committees"
"Energy and Commerce","WYNN, Albert Russell","107th (2001–2003) – 110th (2007–2009)","House Standing Committees"
"Energy and Commerce","BUTTERFIELD, George Kenneth (G.K.), Jr.","110th (2007–2009) – 116th (2019–2021)","House Standing Committees"
"Energy and Commerce","CHRISTENSEN, Donna Marie","111th (2009–2011) – 113th (2013–2015)","House Standing Committees"
"Energy and Commerce","CLARKE, Yvette Diane","114th (2015–2017) – 116th (2019–2021)","House Standing Committees"
"Energy and Commerce","BLUNT ROCHESTER, Lisa","116th (2019–2021)","House Standing Committees"
"Energy and Commerce","KELLY, Robin L.","116th (2019–2021)","House Standing Committees"
"Energy and Commerce","MCEACHIN, Aston Donald","116th (2019–2021)","House Standing Committees"
"Enrolled Bills","DE PRIEST, Oscar Stanton","71st (1929–1931) – 73rd (1933–1935)","House Standing Committees"
"Ethics","EDWARDS, Donna F.","112th (2011–2013)","House Standing Committees"
"Ethics","CLARKE, Yvette Diane","113th (2013–2015) – 115th (2017–2019)","House Standing Committees"
"Ethics","BROWN, Anthony Gregory","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Expenditures in Executive Departments","DAWSON, William Levi","78th (1943–1945) – 82nd (1951–1953)","House Standing Committees"
"Expenditures in the Interior Department","LYNCH, John Roy","43rd (1873–1875)","House Standing Committees"
"Expenditures in the Navy Department","WALLS, Josiah Thomas","43rd (1873–1875)","House Standing Committees"
"Expenditures in the Treasury Department","MURRAY, George Washington","54th (1895–1897)","House Standing Committees"
"Expenditures on the Public Buildings","O'HARA, James Edward","49th (1885–1887)","House Standing Committees"
"Expenditures on the Public Buildings","CHEATHAM, Henry Plummer","51st (1889–1891) – 52nd (1891–1893)","House Standing Committees"
"Financial Services","CARSON, Julia May","107th (2001–2003) – 110th (2007–2009)","House Standing Committees"
"Financial Services","CLAY, William Lacy, Jr.","107th (2001–2003) – 113th (2013–2015); 115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Financial Services","FORD, Harold, Jr.","107th (2001–2003) – 109th (2005–2007)","House Standing Committees"
"Financial Services","JONES, Stephanie Tubbs","107th (2001–2003)","House Standing Committees"
"Financial Services","LEE, Barbara","107th (2001–2003) – 109th (2005–2007)","House Standing Committees"
"Financial Services","MEEKS, Gregory W.","107th (2001–2003) – 116th (2019–2021)","House Standing Committees"
"Financial Services","WATERS, Maxine","107th (2001–2003) – 116th (2019–2021)","House Standing Committees"
"Financial Services","WATT, Melvin L.","107th (2001–2003) – 113th (2013–2015)","House Standing Committees"
"Financial Services","DAVIS, Artur","108th (2003–2005) – 109th (2005–2007)","House Standing Committees"
"Financial Services","SCOTT, David","108th (2003–2005) – 110th (2007–2009); 112th (2011–2013) – 116th (2019–2021)","House Standing Committees"
"Financial Services","CLEAVER, Emanuel, II","109th (2005–2007) – 116th (2019–2021)","House Standing Committees"
"Financial Services","GREEN, Al","109th (2005–2007) – 116th (2019–2021)","House Standing Committees"
"Financial Services","MOORE, Gwendolynne S. (Gwen)","109th (2005–2007) – 115th (2017–2019)","House Standing Committees"
"Financial Services","CARSON, André","110th (2007–2009) – 112th (2011–2013)","House Standing Committees"
"Financial Services","ELLISON, Keith","110th (2007–2009) – 115th (2017–2019)","House Standing Committees"
"Financial Services","BEATTY, Joyce","113th (2013–2015) – 116th (2019–2021)","House Standing Committees"
"Financial Services","SEWELL, Terri","113th (2013–2015) – 114th (2015–2017)","House Standing Committees"
"Financial Services","LOVE, Ludmya Bourdeau (Mia)","114th (2015–2017) – 115th (2017–2019)","House Standing Committees"
